audit_id,user_id,action,resource,record_id,old_value,new_value,requires_approval,approval_status,approved_by,approved_at,ip_address,timestamp,notes
1,1,UPDATE,users,20,"{""is_approved"": false}","{""is_approved"": true}",False,N/A,,,192.168.1.26,2022-06-02 06:33:10,Contracted staff account approved by admin
2,1,UPDATE,users,17,"{""is_approved"": false}","{""is_approved"": true}",False,N/A,,,192.168.1.132,2022-06-22 11:07:12,Contracted staff account approved by admin
3,1,UPDATE,users,19,"{""is_approved"": false}","{""is_approved"": true}",False,N/A,,,192.168.4.237,2022-11-07 08:35:16,Contracted staff account approved by admin
4,1,UPDATE,users,18,"{""is_approved"": false}","{""is_approved"": true}",False,N/A,,,192.168.5.27,2022-11-21 08:18:06,Contracted staff account approved by admin
5,5,UPDATE,residents,37,"{""case_status"": ""On Hold""}","{""case_status"": ""Closed""}",True,Approved,15,2026-03-25 21:08:34,192.168.5.176,2023-01-02 11:42:28,
6,3,INSERT,process_recordings,2182,,,False,N/A,,,192.168.1.19,2023-01-02 14:01:43,
7,8,UPDATE,residents,42,"{""reintegration_status"": ""Completed""}","{""reintegration_status"": ""On Hold""}",True,Approved,15,2024-11-12 03:48:25,192.168.1.180,2023-01-02 18:48:49,
8,2,INSERT,incident_reports,6,,,False,N/A,,,192.168.5.196,2023-01-02 18:50:36,
9,13,INSERT,home_visitations,1042,,,False,N/A,,,192.168.3.233,2023-01-16 02:31:26,
10,18,INSERT,process_recordings,658,,,False,N/A,,,192.168.5.57,2023-01-21 08:27:34,
11,17,INSERT,process_recordings,952,,,False,N/A,,,192.168.4.211,2023-01-26 01:41:35,
12,10,INSERT,incident_reports,21,,,False,N/A,,,192.168.4.71,2023-01-26 17:59:19,
13,10,LOGOUT,users,10,,,False,N/A,,,192.168.4.235,2023-01-27 16:08:05,
14,15,LOGOUT,users,15,,,False,N/A,,,192.168.5.125,2023-01-29 10:19:49,
15,15,LOGOUT,users,15,,,False,N/A,,,192.168.5.20,2023-02-01 17:45:22,
16,7,INSERT,home_visitations,1308,,,False,N/A,,,192.168.2.100,2023-02-01 18:02:25,
17,13,INSERT,education_records,108,,,False,N/A,,,192.168.2.171,2023-02-10 02:36:31,
18,16,UPDATE,residents,12,"{""current_risk_level"": ""High""}","{""current_risk_level"": ""Medium""}",True,Approved,16,2023-07-27 13:35:14,192.168.1.107,2023-02-13 17:26:52,
19,12,INSERT,health_records,323,,,False,N/A,,,192.168.2.232,2023-02-15 23:25:27,
20,5,INSERT,health_records,192,,,False,N/A,,,192.168.1.209,2023-02-25 16:31:40,
21,13,INSERT,education_records,26,,,False,N/A,,,192.168.2.54,2023-02-27 17:18:45,
22,17,INSERT,home_visitations,1007,,,False,N/A,,,192.168.4.29,2023-03-01 20:49:39,
23,1,VIEW,incident_reports,85,,,False,N/A,,,192.168.3.15,2023-03-10 11:04:57,
24,15,INSERT,incident_reports,57,,,False,N/A,,,192.168.1.37,2023-03-11 17:53:36,
25,6,LOGIN,users,6,,,False,N/A,,,192.168.2.172,2023-03-20 11:33:14,
26,4,UPDATE,residents,3,"{""reintegration_status"": ""Completed""}","{""reintegration_status"": ""On Hold""}",True,Approved,15,2025-10-10 01:01:00,192.168.2.18,2023-03-20 23:21:10,
27,1,UPDATE,residents,19,"{""reintegration_status"": ""On Hold""}","{""reintegration_status"": ""Completed""}",True,Pending,,,192.168.1.73,2023-04-04 01:16:35,
28,16,VIEW,process_recordings,2611,,,False,N/A,,,192.168.4.214,2023-04-16 22:08:57,
29,14,INSERT,process_recordings,893,,,False,N/A,,,192.168.4.82,2023-04-26 19:42:42,
30,6,VIEW,incident_reports,11,,,False,N/A,,,192.168.4.140,2023-05-04 23:17:23,
31,9,LOGIN,users,9,,,False,N/A,,,192.168.5.83,2023-05-14 19:31:30,
32,11,LOGIN,users,11,,,False,N/A,,,192.168.3.198,2023-05-24 14:00:54,
33,16,INSERT,incident_reports,16,,,False,N/A,,,192.168.3.79,2023-05-26 08:29:30,
34,11,LOGOUT,users,11,,,False,N/A,,,192.168.5.119,2023-05-28 11:01:40,
35,7,INSERT,education_records,403,,,False,N/A,,,192.168.4.29,2023-05-29 11:22:19,
36,1,UPDATE,intervention_plans,84,"{""status"": ""In Progress""}","{""status"": ""Completed""}",True,Pending,,,192.168.1.231,2023-05-29 20:30:38,
37,7,LOGIN,users,7,,,False,N/A,,,192.168.2.202,2023-05-30 18:48:53,
38,7,VIEW,process_recordings,1697,,,False,N/A,,,192.168.2.177,2023-06-04 13:48:06,
39,3,LOGIN,users,3,,,False,N/A,,,192.168.2.36,2023-06-10 04:22:01,
40,10,VIEW,incident_reports,71,,,False,N/A,,,192.168.5.173,2023-06-14 22:28:28,
41,5,INSERT,education_records,127,,,False,N/A,,,192.168.3.208,2023-06-16 03:13:57,
42,15,INSERT,incident_reports,66,,,False,N/A,,,192.168.4.82,2023-06-17 12:32:48,
43,1,UPDATE,intervention_plans,154,"{""status"": ""Cancelled""}","{""status"": ""In Progress""}",True,Approved,15,2024-10-24 05:31:20,192.168.1.44,2023-06-18 22:25:34,
44,3,LOGOUT,users,3,,,False,N/A,,,192.168.5.53,2023-06-19 18:35:51,
45,16,UPDATE,residents,34,"{""current_risk_level"": ""Critical""}","{""current_risk_level"": ""Low""}",True,Approved,15,2024-01-19 20:57:46,192.168.2.238,2023-06-23 02:26:54,
46,12,INSERT,process_recordings,2780,,,False,N/A,,,192.168.1.214,2023-07-06 14:45:02,
47,1,INSERT,process_recordings,2038,,,False,N/A,,,192.168.5.122,2023-07-08 23:09:26,
48,15,INSERT,health_records,99,,,False,N/A,,,192.168.3.44,2023-07-10 03:35:32,
49,4,VIEW,incident_reports,31,,,False,N/A,,,192.168.1.131,2023-07-12 14:24:54,
50,15,VIEW,process_recordings,827,,,False,N/A,,,192.168.2.186,2023-07-29 15:00:56,
51,4,INSERT,education_records,525,,,False,N/A,,,192.168.5.8,2023-08-02 14:01:26,
52,6,INSERT,process_recordings,1237,,,False,N/A,,,192.168.4.179,2023-08-03 05:53:58,
53,11,VIEW,incident_reports,76,,,False,N/A,,,192.168.2.74,2023-08-12 12:16:26,
54,14,INSERT,process_recordings,1099,,,False,N/A,,,192.168.4.76,2023-08-15 08:07:13,
55,4,LOGIN,users,4,,,False,N/A,,,192.168.1.115,2023-08-16 01:04:46,
56,8,VIEW,incident_reports,84,,,False,N/A,,,192.168.1.35,2023-08-18 12:04:47,
57,9,VIEW,process_recordings,1962,,,False,N/A,,,192.168.5.207,2023-08-20 03:20:54,
58,17,INSERT,process_recordings,2341,,,False,N/A,,,192.168.5.192,2023-08-27 01:13:48,
59,7,INSERT,incident_reports,73,,,False,N/A,,,192.168.1.246,2023-09-03 05:03:12,
60,12,LOGOUT,users,12,,,False,N/A,,,192.168.3.172,2023-09-03 14:26:23,
61,11,UPDATE,intervention_plans,82,"{""status"": ""Cancelled""}","{""status"": ""In Progress""}",True,Approved,15,2024-02-21 02:05:58,192.168.1.90,2023-09-04 22:27:37,
62,7,UPDATE,residents,36,"{""current_risk_level"": ""Medium""}","{""current_risk_level"": ""High""}",True,Approved,16,2025-05-14 00:56:44,192.168.3.166,2023-09-05 11:25:23,
63,5,LOGIN,users,5,,,False,N/A,,,192.168.3.16,2023-09-08 00:31:50,
64,3,LOGOUT,users,3,,,False,N/A,,,192.168.1.244,2023-09-14 20:37:56,
65,16,LOGOUT,users,16,,,False,N/A,,,192.168.4.100,2023-09-21 09:25:02,
66,17,INSERT,incident_reports,5,,,False,N/A,,,192.168.5.39,2023-09-24 14:27:47,
67,2,INSERT,incident_reports,13,,,False,N/A,,,192.168.5.211,2023-09-27 06:48:01,
68,6,VIEW,process_recordings,1022,,,False,N/A,,,192.168.1.155,2023-09-29 23:08:21,
69,6,UPDATE,intervention_plans,80,"{""status"": ""On Hold""}","{""status"": ""Completed""}",True,Approved,16,2025-07-23 04:24:27,192.168.3.64,2023-10-01 10:21:23,
70,8,INSERT,home_visitations,957,,,False,N/A,,,192.168.5.202,2023-10-04 07:49:15,
71,2,INSERT,education_records,139,,,False,N/A,,,192.168.3.119,2023-10-12 18:44:52,
72,16,LOGIN,users,16,,,False,N/A,,,192.168.1.21,2023-10-25 18:38:39,
73,9,INSERT,process_recordings,1468,,,False,N/A,,,192.168.1.251,2023-11-11 23:58:47,
74,1,INSERT,health_records,434,,,False,N/A,,,192.168.1.243,2023-11-16 22:15:58,
75,5,LOGIN,users,5,,,False,N/A,,,192.168.1.42,2023-11-23 02:51:04,
76,20,LOGOUT,users,20,,,False,N/A,,,192.168.5.121,2023-12-07 10:50:49,
77,11,VIEW,incident_reports,56,,,False,N/A,,,192.168.3.67,2023-12-16 16:49:26,
78,13,INSERT,incident_reports,2,,,False,N/A,,,192.168.5.157,2023-12-20 20:18:27,
79,1,LOGOUT,users,1,,,False,N/A,,,192.168.1.171,2024-01-08 16:20:22,
80,9,LOGIN,users,9,,,False,N/A,,,192.168.2.211,2024-01-09 14:14:53,
81,14,INSERT,process_recordings,1872,,,False,N/A,,,192.168.4.104,2024-01-31 14:43:11,
82,17,LOGOUT,users,17,,,False,N/A,,,192.168.4.249,2024-01-31 23:39:41,
83,9,LOGOUT,users,9,,,False,N/A,,,192.168.2.139,2024-02-01 06:50:58,
84,14,UPDATE,intervention_plans,75,"{""status"": ""In Progress""}","{""status"": ""Cancelled""}",True,Approved,16,2025-08-11 00:26:51,192.168.1.233,2024-02-03 20:47:17,
85,3,UPDATE,residents,24,"{""current_risk_level"": ""Low""}","{""current_risk_level"": ""High""}",True,Approved,16,2025-09-04 16:57:52,192.168.5.181,2024-02-17 01:51:20,
86,4,INSERT,education_records,167,,,False,N/A,,,192.168.5.235,2024-02-23 08:54:22,
87,9,INSERT,education_records,16,,,False,N/A,,,192.168.2.75,2024-02-23 13:03:37,
88,10,INSERT,home_visitations,415,,,False,N/A,,,192.168.3.88,2024-02-29 05:42:43,
89,10,INSERT,education_records,431,,,False,N/A,,,192.168.1.116,2024-03-03 07:09:04,
90,1,VIEW,incident_reports,24,,,False,N/A,,,192.168.5.242,2024-03-05 12:13:43,
91,19,LOGOUT,users,19,,,False,N/A,,,192.168.3.45,2024-03-09 12:09:50,
92,9,INSERT,education_records,480,,,False,N/A,,,192.168.5.24,2024-03-10 15:39:37,
93,2,VIEW,incident_reports,31,,,False,N/A,,,192.168.2.13,2024-03-12 00:00:28,
94,11,LOGOUT,users,11,,,False,N/A,,,192.168.3.194,2024-03-12 14:28:01,
95,12,UPDATE,residents,12,"{""case_status"": ""Closed""}","{""case_status"": ""On Hold""}",True,Pending,,,192.168.1.31,2024-03-13 21:49:42,
96,15,VIEW,incident_reports,59,,,False,N/A,,,192.168.4.25,2024-03-15 04:24:11,
97,20,LOGIN,users,20,,,False,N/A,,,192.168.4.131,2024-03-17 11:15:11,
98,7,UPDATE,intervention_plans,16,"{""status"": ""Completed""}","{""status"": ""Cancelled""}",True,Approved,16,2024-06-29 19:11:45,192.168.1.188,2024-03-18 01:21:57,
99,15,UPDATE,residents,43,"{""case_status"": ""Closed""}","{""case_status"": ""On Hold""}",True,Approved,15,2024-04-27 05:48:43,192.168.2.238,2024-04-01 16:13:25,
100,9,UPDATE,residents,25,"{""current_risk_level"": ""Critical""}","{""current_risk_level"": ""Low""}",True,Approved,16,2024-09-14 08:11:10,192.168.4.155,2024-04-12 09:05:27,
101,13,INSERT,process_recordings,1532,,,False,N/A,,,192.168.5.195,2024-04-15 15:42:55,
102,7,INSERT,health_records,285,,,False,N/A,,,192.168.3.243,2024-04-17 18:41:45,
103,6,VIEW,incident_reports,56,,,False,N/A,,,192.168.4.158,2024-04-21 19:29:41,
104,10,INSERT,incident_reports,14,,,False,N/A,,,192.168.1.7,2024-05-10 21:45:12,
105,19,LOGOUT,users,19,,,False,N/A,,,192.168.3.121,2024-05-15 22:34:20,
106,6,VIEW,process_recordings,1001,,,False,N/A,,,192.168.1.103,2024-05-16 22:21:15,
107,9,UPDATE,residents,38,"{""current_risk_level"": ""Critical""}","{""current_risk_level"": ""High""}",True,Approved,15,2024-07-25 22:24:06,192.168.5.161,2024-05-21 10:57:40,
108,12,INSERT,incident_reports,56,,,False,N/A,,,192.168.2.208,2024-05-27 13:09:40,
109,6,UPDATE,intervention_plans,135,"{""status"": ""On Hold""}","{""status"": ""Cancelled""}",True,Pending,,,192.168.5.252,2024-06-03 06:12:53,
110,5,INSERT,home_visitations,1040,,,False,N/A,,,192.168.1.177,2024-06-24 23:28:31,
111,5,INSERT,incident_reports,9,,,False,N/A,,,192.168.1.123,2024-07-02 02:21:39,
112,11,INSERT,home_visitations,268,,,False,N/A,,,192.168.5.95,2024-07-02 17:55:32,
113,2,INSERT,incident_reports,23,,,False,N/A,,,192.168.5.225,2024-07-04 08:53:30,
114,1,LOGIN,users,1,,,False,N/A,,,192.168.4.120,2024-07-10 18:42:19,
115,10,VIEW,incident_reports,99,,,False,N/A,,,192.168.3.131,2024-07-11 11:36:43,
116,13,INSERT,health_records,79,,,False,N/A,,,192.168.2.131,2024-07-17 10:31:14,
117,16,VIEW,process_recordings,1354,,,False,N/A,,,192.168.5.72,2024-07-18 06:08:59,
118,13,VIEW,incident_reports,43,,,False,N/A,,,192.168.2.159,2024-07-21 06:50:12,
119,2,INSERT,health_records,175,,,False,N/A,,,192.168.1.250,2024-07-21 17:35:45,
120,2,INSERT,health_records,89,,,False,N/A,,,192.168.5.49,2024-07-22 17:06:14,
121,15,UPDATE,intervention_plans,14,"{""status"": ""On Hold""}","{""status"": ""Completed""}",True,Approved,15,2024-09-17 07:36:02,192.168.1.52,2024-07-23 19:25:58,
122,13,LOGIN,users,13,,,False,N/A,,,192.168.3.154,2024-08-02 17:02:41,
123,1,LOGIN,users,1,,,False,N/A,,,192.168.2.10,2024-08-06 21:38:47,
124,12,UPDATE,intervention_plans,167,"{""status"": ""In Progress""}","{""status"": ""On Hold""}",True,Pending,,,192.168.1.71,2024-08-15 17:04:20,
125,2,INSERT,incident_reports,7,,,False,N/A,,,192.168.4.42,2024-08-17 06:54:24,
126,10,INSERT,incident_reports,7,,,False,N/A,,,192.168.4.10,2024-08-17 23:45:11,
127,13,LOGOUT,users,13,,,False,N/A,,,192.168.1.243,2024-08-20 00:47:09,
128,4,VIEW,incident_reports,42,,,False,N/A,,,192.168.3.215,2024-08-21 08:13:28,
129,7,LOGOUT,users,7,,,False,N/A,,,192.168.2.85,2024-08-26 14:18:49,
130,16,UPDATE,intervention_plans,76,"{""status"": ""In Progress""}","{""status"": ""Completed""}",True,Approved,15,2026-03-09 05:02:11,192.168.4.224,2024-08-27 06:17:15,
131,15,LOGIN,users,15,,,False,N/A,,,192.168.4.27,2024-08-29 05:53:43,
132,1,INSERT,education_records,447,,,False,N/A,,,192.168.4.55,2024-09-06 20:45:22,
133,4,VIEW,process_recordings,2566,,,False,N/A,,,192.168.3.134,2024-09-07 22:23:47,
